pid,artist,location,label,_date,object_type,current_location,source
obj1,Al-Hajj Hafiz Muhammad Nuri,Turkey,The Dala'il al-Khayrat of al-Juzuli,1801,manuscript,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Al-Hajj_Hafiz_Muhammad_Nuri,_Turkey,_1801_-_The_Dala%27il_al-Khayrat_of_al-Juzuli_-_Google_Art_Project.jpg"
obj2,Unknown,Egypt,Sulwan Al-Muta'a,14th century,manuscript,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Egypt_or_Syria,_14th_Century_-_Sulwan_Al-Muta%27a_-_Google_Art_Project.jpg"
obj3,Unknown,Egypt,Map of the World,15th century,map,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Egypt,_15th_Century_-_Map_of_World_-_Google_Art_Project.jpg"
obj4,Unknown,Iran,"Faridun crosses the River Dijla, fol. 33v",1525 - 1535,manuscript,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran_-_Page_from_the_Shahnama_of_Shah_Tahmasp_-_Google_Art_Project.jpg"
obj5,Unknown,Iran,Panel from Iran,1600 - 1625,panel,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran_-_Panel_from_Iran_-_Google_Art_Project.jpg"
obj6,Unknown,Iran,Diwan of Jami Manuscript,16th century,manuscript,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran,_16th_Century_-_Diwan_of_Jami_Manuscript_-_Google_Art_Project.jpg"
obj7,Unknown,Iran,Page from the Shahnama,1525 - 1535,manuscript,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran,_16th_Century_-_Page_from_the_Shahnama_-_Google_Art_Project.jpg"
obj8,Unknown,Iran,Silk Tapestry Depicting the story of Leila and Majnun,1550 - 1650,panel,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran,_16th_or_16th_Century_-_Silk_Tapestry_Depicting_the_story_of_Leila_and_Majnun_-_Google_Art_Project.jpg"
obj9,Mihr 'Ali,Iran,Portrait of Fath 'Ali Shah,1816,portrait,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Mihr_%27Ali,_Iran,_1816_-_Portrait_of_Fath_%27Ali_Shah_-_Google_Art_Project.jpg"
obj10,Unknown,Iran,Portrait of Hasan 'Ali Mirza Shuja al-Saltana,1800 - 1850,portrait,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran,_early_19th_Century_-_Portrait_of_Hasan_%27Ali_Mirza_Shuja_al-Saltana_-_Google_Art_Project.jpg"
obj11,Unknown,Iran,Portrait of Sheikh Ali Mirza,1800 - 1850,portrait,"The Museum of Islamic Art, Qatar","https://commons.wikimedia.org/wiki/File:Unknown,_Iran,_early_19th_Century_-_Portrait_of_Sheikh_Ali_Mirza_-_Google_Art_Project.jpg"
obj12,"Bahādur Fīrūz, ʻAbd Allāh Khān",Middle East and North Africa,Excerpt from 'The Book of Horses' (فَرَس نامه [رسالة في الخيول),Around 1628 - 1658,manuscript,Qatar National Library,https://www.wdl.org/en/item/10668/
